species;taxid;taxon_group;angiosperm_group;family;genome_size;genome_Cvalue;ploidy;hcn
Gossypium_raimondii;29730;eudicotyledons;Eudicot;Malvaceae;NA;880;2;13
Gossypium_sp;NA;NA;NA;NA;NA;NA;NA;NA
Gossypium_tomentosum;34277;eudicotyledons;Eudicot;Malvaceae;NA;2381;2;13
Helianthus_annuus;4232;eudicotyledons;Eudicot;Asteraceae;NA;2372;2;17
Hevea_brasiliensis;3981;eudicotyledons;Eudicot;Euphorbiaceae;NA;2103;2;18
Hibiscus_cannabinus;229543;eudicotyledons;Eudicot;Malvaceae;NA;1491;NA;NA
Hieracium_sp;NA;NA;NA;NA;NA;NA;NA;NA
Hordeum_vulgare;4513;Liliopsida;Monocot;Poaceae;NA;5428;2;7
Humulus_lupulus;3486;eudicotyledons;Eudicot;Cannabaceae;NA;2836;NA;NA
Ipomoea_batatas;4120;eudicotyledons;Eudicot;Convolvulaceae;NA;1467;4;15
Jatropha_curcas;180498;eudicotyledons;Eudicot;Euphorbiaceae;NA;416;2;11
Juglans_regia;51240;eudicotyledons;Eudicot;Juglandaceae;NA;606;NA;NA
Lactuca_sativa;4236;eudicotyledons;Eudicot;Asteraceae;NA;2592;2;9
Larix_kaempferi;54800;Pinidae;NA;Pinaceae;NA;NA;NA;NA
Larix_principisrupprechtii;NA;NA;NA;NA;NA;NA;NA;NA
Lens_culinaris;3864;eudicotyledons;Eudicot;Fabaceae;NA;4108;2;7
Linum_usitatissimum;4006;eudicotyledons;Eudicot;Linaceae;NA;685;2;15
Lolium_multiflorum;4521;Liliopsida;Monocot;Poaceae;NA;2661;2;7
Lolium_perenne;4522;Liliopsida;Monocot;Poaceae;NA;2695;2;7
Lotus_japonicus;34305;eudicotyledons;Eudicot;Fabaceae;NA;465;2;6
Luffa_acutangula;56866;eudicotyledons;NA;Cucurbitaceae;NA;NA;NA;NA
Lupinus_albus;3870;eudicotyledons;Eudicot;Fabaceae;NA;587;NA;NA
Lupinus_angustifolius;3871;eudicotyledons;Eudicot;Fabaceae;NA;905;2;20
Lupinus_luteus;3873;eudicotyledons;Eudicot;Fabaceae;NA;978;NA;NA
Lycium_barbarum;112863;eudicotyledons;NA;Solanaceae;NA;NA;NA;NA
Malus_domestica;3750;eudicotyledons;NA;Rosaceae;NA;NA;NA;NA
Malus_pumila;283210;eudicotyledons;Eudicot;Rosaceae;NA;753;2;NA
Malus_sieversii;106567;eudicotyledons;Eudicot;Rosaceae;NA;734;2;17
Mangifera_indica;29780;eudicotyledons;Eudicot;Anacardiaceae;NA;440;4;10
Manihot_esculenta;3983;eudicotyledons;Eudicot;Euphorbiaceae;NA;807;2;36
Medicago_sativa;3879;eudicotyledons;Eudicot;Fabaceae;NA;841;2;8
Medicago_truncatula;3880;eudicotyledons;Eudicot;Fabaceae;NA;465;2;8
Mimulus_guttatus;4155;eudicotyledons;Eudicot;Phrymaceae;NA;362;4;NA
Miscanthus_sacchariflorus;183675;Liliopsida;Monocot;Poaceae;NA;4108;4;19
Miscanthus_sinensis;62337;Liliopsida;Monocot;Poaceae;NA;2592;2;19
Momordica_charantia;3673;eudicotyledons;Eudicot;Cucurbitaceae;NA;2005;2;11
Musa_acuminata;4641;Liliopsida;Monocot;Musaceae;NA;611;2;11
Nelumbo_lutea;4431;Proteales;Eudicot;Nelumbonaceae;NA;944;2;8
Nelumbo_nucifera;4432;Proteales;Eudicot;Nelumbonaceae;NA;237;2;8
Nicotiana_langsdorffii;118700;eudicotyledons;Eudicot;Solanaceae;NA;4254;2;9
Nicotiana_tabacum;4097;eudicotyledons;Eudicot;Solanaceae;NA;5061;4;12
Olea_europaea;4146;eudicotyledons;Eudicot;Oleaceae;NA;1907;2;23
Oryza_minuta;63629;Liliopsida;Monocot;Poaceae;NA;1687;4;12
Oryza_nivara;4536;Liliopsida;Monocot;Poaceae;NA;455;2;12
Oryza_rufipogon;4529;Liliopsida;Monocot;Poaceae;NA;445;2;12
Oryza_sativa;4530;Liliopsida;Monocot;Poaceae;NA;489;2;12
Osmanthus_fragrans;93977;eudicotyledons;NA;Oleaceae;NA;NA;NA;NA
Paeonia_moutan;45171;eudicotyledons;NA;Paeoniaceae;NA;NA;NA;NA
Paeonia_suffruticosa;45171;eudicotyledons;NA;Paeoniaceae;NA;NA;NA;NA
Panicum_hallii;206008;Liliopsida;NA;Poaceae;NA;NA;NA;NA
Panicum_virgatum;38727;Liliopsida;Monocot;Poaceae;NA;1320;4;9
Paspalum_vaginatum;158149;Liliopsida;NA;Poaceae;NA;NA;NA;NA
Pennisetum_glaucum;4543;Liliopsida;Monocot;Poaceae;NA;2616;2;7
Persea_americana;3435;Magnoliidae;Basal Angiosperm;Lauraceae;NA;905;2;12
Petunia_axillaris;33119;eudicotyledons;Eudicot;Solanaceae;NA;1369;2;7
Phalaenopsis_aphrodite;212056;Liliopsida;Monocot;Orchidaceae;NA;1369;2;19
Phaseolus_vulgaris;3885;eudicotyledons;Eudicot;Fabaceae;NA;587;2;11
Phoenix_dactylifera;42345;Liliopsida;Monocot;Arecaceae;NA;929;2;18
Physcomitrella_patens;3218;Funariaceae;NA;Funariaceae;NA;NA;NA;NA
Picea_abies;3329;Pinidae;NA;Pinaceae;NA;NA;NA;NA
Pinus_balfouriana;3338;Pinidae;NA;Pinaceae;NA;NA;NA;NA
Pinus_elliottii;42064;Pinidae;NA;Pinaceae;NA;NA;NA;NA
Pinus_koraiensis;88728;Pinidae;NA;Pinaceae;NA;NA;NA;NA
Pinus_lambertiana;3343;Pinidae;NA;Pinaceae;NA;NA;NA;NA
