"id";"valid";"ref";"year";"species";"taxid";"taxon";"taxon_group";"family";"marker_type";"nb_markers";"sex";"crossing";"n_progeny";"n_meiosis";"linkage_map_length";"physical_length";"map_quality";"mapping_function";"accession";"link_genome";"ref_genome";"genome_size";"genome_Cvalue";"ploidy";"hcn";"original_map";"public_database";"ABH_data";"MapMaker_data";"link_data";"doi";"contact"
"Begonia_plebeja_Brennan2012";"FALSE";"Brennan";2012;"Begonia_plebeja";1047136;"Angiosperm";1;"Begoniaceae";"NA";"NA";"NA";"NA";"NA";"NA";1099;"NA";"NA";"NA";"NA";"NA";"NA";"616.14";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"https://static-content.springer.com/esm/art%3A10.1007%2Fs12042-012-9109-6/MediaObjects/12042_2012_9109_MOESM2_ESM.xls";"https://doi.org/10.1007/s12042-012-9109-6";"NA"
"Benincasa_hispida_Jiang2015";"FALSE";"Jiang";2015;"Benincasa_hispida";102211;"Angiosperm";1;"Cucurbitaceae";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";1027;2;12;"NA";"NA";"NA";"NA";"https://static-content.springer.com/esm/art%3A10.1186%2Fs12864-015-2220-y/MediaObjects/12864_2015_2220_MOESM3_ESM.xlsx";"https://doi.org/10.1186/s12864-015-2220-y";"NA"
"NA";"FALSE";"Laurent";2007;"Beta_vulgaris";161934;"Angiosperm";1;"Chenopodiaceae";"NA";"NA";"NA";"NA";"NA";"NA";555;"NA";"NA";"NA";"NA";"NA";"NA";"1222.5";1223;2;9;"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1007/s00122-007-0609-y";"NA"
"NA";"FALSE";"Wang";2017;"Beta_vulgaris";161934;"Angiosperm";1;"Chenopodiaceae";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";1223;2;9;"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1007/s12355-017-0550-6";"NA"
"NA";"FALSE";"Jiang";2011;"Betula_pendula";3505;"Angiosperm";1;"Betulaceae";"NA";"NA";"NA";"NA";"NA";"NA";"2489.7";"NA";"NA";"NA";"NA";"NA";"NA";"1369.2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1007/s11032-010-9436-y";"NA"
"NA";"FALSE";"Liu";2014;"Boehmeria_nivea";83906;"Angiosperm";1;"Urticaceae";"NA";"NA";"NA";"NA";"NA";"NA";"2265.1";"NA";"NA";"NA";"NA";"NA";"NA";716;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1007/s11032-014-0082-7";"NA"
"Brachypodium_distachyon_Huo2011";"TRUE";"Huo";2011;"Brachypodium_distachyon";15368;"Angiosperm";4;"Poaceae";"SNP";558;"sex-averaged";"F2";476;"NA";"1597.992";268428996;"NA";"kosambi";"GCA_000005505.4";"NA";"Brachypodium_genome_annotation_v1.0";"NA";355;2;5;"NA";"NA";"NA";"NA";"https://static-content.springer.com/esm/art%3A10.1007%2Fs00122-011-1598-4/MediaObjects/122_2011_1598_MOESM3_ESM.xls";"https://doi.org/10.1007/s00122-011-1598-4";"NA"
"NA";"FALSE";"Cheng";2009;"Brassica_campestris";3711;"Angiosperm";1;"Brassicaceae";"NA";"NA";"NA";"NA";"NA";"NA";"973.3";"NA";"NA";"NA";"NA";"NA";"NA";"567.24";562;2;9;"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1016/S1673-8527(08)60140-X";"NA"
"Brassica_carinata_Zou2014";"FALSE";"Zou";2014;"Brassica_carinata";52824;"Angiosperm";1;"Brassicaceae";"NA";1366;"NA";"NA";"NA";"NA";"2048.511";"NA";"NA";"NA";"NA";"NA";"NA";"1545.24";1540;4;8;"NA";"NA";"NA";"NA";"https://static-content.springer.com/esm/art%3A10.1007%2Fs00122-014-2321-z/MediaObjects/122_2014_2321_MOESM5_ESM.xlsx";"https://doi.org/10.1007/s00122-014-2321-z";"NA"
"Brassica_juncea_Zou2016";"FALSE";"Zou";2016;"Brassica_juncea";3707;"Angiosperm";1;"Brassicaceae";"NA";1570;"NA";"NA";"NA";"NA";"1578.515";514740431;"NA";"NA";"NA";"NA";"NA";"1496.34";1491;4;9;"NA";"NA";"NA";"NA";"https://static-content.springer.com/esm/art%3A10.1186%2Fs12864-015-2343-1/MediaObjects/12864_2015_2343_MOESM2_ESM.xlsx";"https://doi.org/10.1186/s12864-015-2343-1";"NA"
"NA";"FALSE";"Zhang";2016;"Brassica_napus";3708;"Angiosperm";1;"Brassicaceae";"NA";"NA";"NA";"NA";"NA";"NA";"1917.9";"NA";"NA";"NA";"NA";"NA";"NA";"1124.7";1125;4;9;"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1016/j.scienta.2016.05.015";"NA"
